SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,3919 Whitman Ave N #201,Seattle,WA,98103,420000,1,1,Fremont,626,,1986,4,671,287,Active,,,http://www.redfin.com/WA/Seattle/3919-Whitman-Ave-N-98103/unit-201/home/12429606,NWMLS,1675231,N,Y,47.65474,-122.346288
MLS Listing,,Condo/Co-op,22022 42nd Ave S #202,Kent,WA,98032,269950,1,1,Riverview,801,,2000,4,337,409,Active,,,http://www.redfin.com/WA/Kent/22022-42nd-Ave-S-98032/unit-202/home/69384,NWMLS,1675014,N,Y,47.4042224,-122.2815986
MLS Listing,,Townhouse,1526 15th Ave S,Seattle,WA,98144,789950,3,1.75,N Beacon Hill,1830,1060,2007,4,432,,Active,,,http://www.redfin.com/WA/Seattle/1526-15th-Ave-S-98144/home/12087302,NWMLS,1671356,N,Y,47.589184,-122.3134991
MLS Listing,,Single Family Residential,3730 SW Holden St,Seattle,WA,98126,649000,3,1.5,Gatewood,1350,4080,1917,4,481,,Active,,,http://www.redfin.com/WA/Seattle/3730-SW-Holden-St-98126/home/470142,NWMLS,1675072,N,Y,47.5337205,-122.3806475
MLS Listing,,Single Family Residential,4700 Monte Vista Pl,Mount Vernon,WA,98273,685000,3,3.25,Monte Vista Terrace,4122,43560,1993,5,166,,Active,,,http://www.redfin.com/WA/Mt-Vernon/4700-Monte-Vista-Pl-98273/home/15636046,NWMLS,1674795,N,Y,48.432076,-122.279264
MLS Listing,,Single Family Residential,2803 19th St Pl SW,Puyallup,WA,98373,395000,3,2.5,Puyallup,1428,5506,2004,5,277,18,Active,,,http://www.redfin.com/WA/Puyallup/2803-19th-St-Pl-SW-98373/home/3026836,NWMLS,1674560,N,Y,47.1647283,-122.3177049
MLS Listing,,Single Family Residential,19118 143rd St E,Bonney Lake,WA,98391,449950,2,2,Bonney Lake,1481,3755,2014,5,304,200,Active,,,http://www.redfin.com/WA/Bonney-Lake/19118-143rd-St-E-98391/home/22762516,NWMLS,1669339,N,Y,47.125825,-122.175019
MLS Listing,,Single Family Residential,4147 45th Ave SW,Seattle,WA,98116,672000,3,1.75,West Seattle,1320,5850,1925,5,509,,Active,,,http://www.redfin.com/WA/Seattle/4147-45th-Ave-SW-98116/home/329636,NWMLS,1673910,N,Y,47.5652202,-122.3897797
MLS Listing,,Single Family Residential,19133 51st Ave SE,Bothell,WA,98012,1200000,4,3.5,Thrashers Corner,3645,142441,1991,5,329,,Active,,,http://www.redfin.com/WA/Bothell/19133-51st-Ave-SE-98012/home/2529426,NWMLS,1674590,N,Y,47.8236553,-122.160283
MLS Listing,,Single Family Residential,2102 23rd St,Anacortes,WA,98221,370000,3,1.5,Anacortes,1066,6534,1958,5,347,,Active,,,http://www.redfin.com/WA/Anacortes/2102-23rd-St-98221/home/15644859,NWMLS,1673675,N,Y,48.5039844,-122.6304287
MLS Listing,,Townhouse,4529 Rainier Ave S Unit B,Seattle,WA,98118,935000,3,2.75,Columbia City,2539,1416,2015,5,368,,Active,,,http://www.redfin.com/WA/Seattle/4529-Rainier-Ave-S-98118/unit-B/home/144412327,NWMLS,1673922,N,Y,47.5620173,-122.2879523
MLS Listing,,Single Family Residential,15418 SE 254th St,Kent,WA,98042,549950,5,2.75,Covington,2620,6097,2000,5,210,10,Active,,,http://www.redfin.com/WA/Kent/15418-SE-254th-St-98042/home/394296,NWMLS,1674090,N,Y,47.374048,-122.135547
MLS Listing,,Single Family Residential,26414 124th Ave SE,Kent,WA,98030,475000,3,2.25,Kent,1730,18730,1965,5,275,,Active,,,http://www.redfin.com/WA/Kent/26414-124th-Ave-SE-98030/home/398215,NWMLS,1669327,N,Y,47.3646923,-122.1756987
MLS Listing,,Single Family Residential,5715 125th St SE,Snohomish,WA,98296,480000,4,1.75,Snohomish,1782,74052,1981,5,269,,Active,,,http://www.redfin.com/WA/Snohomish/5715-125th-St-SE-98296/home/2790447,NWMLS,1673281,N,Y,47.8839297,-122.1543739
MLS Listing,,Single Family Residential,13720 41st Ave NE,Seattle,WA,98125,1099950,3,2.75,Cedar Park,2680,10739,1940,5,410,,Active,,,http://www.redfin.com/WA/Seattle/13720-41st-Ave-NE-98125/home/319482,NWMLS,1673621,N,Y,47.7288827,-122.2841538
MLS Listing,,Single Family Residential,4815 S 136th St,Tukwila,WA,98168,775000,6,2.75,Tukwila,2930,8442,2017,6,265,,Active,,,http://www.redfin.com/WA/Tukwila/4815-S-136th-St-98168/home/22458825,NWMLS,1672725,N,Y,47.4811531,-122.2742875
MLS Listing,,Townhouse,1609 NW 65th St,Seattle,WA,98117,975000,4,2.25,Ballard,1960,2070,2015,6,497,,Active,,,http://www.redfin.com/WA/Seattle/1609-NW-65th-St-98117/home/494169,NWMLS,1673807,N,Y,47.67589393,-122.3783286
MLS Listing,,Single Family Residential,4319 Sandpiper Ct,Mukilteo,WA,98275,899000,5,2.75,Harbour Pointe,3652,8712,2006,6,246,42,Active,,,http://www.redfin.com/WA/Mukilteo/4319-Sand-Piper-Ct-98275/home/11882654,NWMLS,1669298,N,Y,47.8839789,-122.2965745
MLS Listing,,Single Family Residential,4740 38th Ave SW,Seattle,WA,98126,650000,3,1,Fairmount,1600,4313,1927,6,406,,Active,,,http://www.redfin.com/WA/Seattle/4740-38th-Ave-SW-98126/home/470433,NWMLS,1672120,N,Y,47.5599016,-122.3797627
MLS Listing,,Single Family Residential,4427 Williams Ave W,Seattle,WA,98199,949000,4,2.25,Seattle,2700,5033,1979,6,351,,Active,,,http://www.redfin.com/WA/Seattle/4427-Williams-Ave-W-98199/home/124767,NWMLS,1670386,N,Y,47.6601548,-122.3925626
MLS Listing,,Condo/Co-op,17301 NE 45th St #87,Redmond,WA,98052,295000,1,1,Overlake,712,,1968,6,414,361,Active,,,http://www.redfin.com/WA/Redmond/17301-NE-45th-St-98052/unit-87/home/64447,NWMLS,1673455,N,Y,47.6498283,-122.109879
MLS Listing,,Condo/Co-op,14630 NE 35th St #104,Bellevue,WA,98007,385000,2,1.5,Bellevue,857,,1980,7,449,448,Active,,,http://www.redfin.com/WA/Bellevue/14630-NE-35th-St-98007/unit-104/home/71868,NWMLS,1670375,N,Y,47.6419658,-122.1453234
MLS Listing,,Single Family Residential,23405 75th Ave W,Edmonds,WA,98026,995000,4,3.75,Edmonds,2789,14810,1943,7,357,,Active,,,http://www.redfin.com/WA/Edmonds/23405-75th-Ave-W-98026/home/2707331,NWMLS,1673610,N,Y,47.786772,-122.3339979
MLS Listing,,Single Family Residential,5506 36th Av Ct NE,Tacoma,WA,98422,819777,5,2.5,Browns Point,3697,15172,2002,7,222,65,Active,,,http://www.redfin.com/WA/Tacoma/5506-36th-Ave-Ct-NE-98422/home/2995243,NWMLS,1673334,N,Y,47.305284,-122.3977879
MLS Listing,,Condo/Co-op,1427 3rd Ave W #9,Seattle,WA,98119,360000,1,1,Queen Anne,700,,1930,7,514,525,Active,,,http://www.redfin.com/WA/Seattle/1427-3rd-Ave-W-98119/unit-9/home/90067274,NWMLS,1673480,N,Y,47.6321244,-122.3607964
MLS Listing,,Condo/Co-op,1100 106th Ave NE #512,Bellevue,WA,98004,627500,1,1,Bellevue,823,,2002,8,762,482,Active,,,http://www.redfin.com/WA/Bellevue/1100-106th-Ave-NE-98004/unit-512/home/2061904,NWMLS,1673181,N,Y,47.6205722,-122.1987339
MLS Listing,,Single Family Residential,2311 E Pine St,Seattle,WA,98122,899000,3,2,Central Area,1260,2520,1901,9,713,,Active,,,http://www.redfin.com/WA/Seattle/2311-E-Pine-St-98122/home/146460,NWMLS,1672451,N,Y,47.6151292,-122.3020126
MLS Listing,,Townhouse,819 S Cloverdale St Unit C,Seattle,WA,98108,510000,3,2.25,South Park,1260,6994,2015,11,405,,Active,,,http://www.redfin.com/WA/Seattle/819-S-Cloverdale-St-98108/unit-C/home/106725430,NWMLS,1668824,N,Y,47.5263755,-122.3221887
MLS Listing,,Condo/Co-op,10930 NE 37th Pl #3,Bellevue,WA,98004,450000,2,1.75,Bellevue,1047,497890,1975,11,430,560,Active,,,http://www.redfin.com/WA/Bellevue/10930-NE-37th-Pl-98004/unit-3/home/12920,NWMLS,1666905,N,Y,47.6429124,-122.1936989
MLS Listing,,Condo/Co-op,1110 W Howe St #101,Seattle,WA,98119,535000,2,1.75,Queen Anne,1213,,1989,11,441,347,Active,,,http://www.redfin.com/WA/Seattle/1110-W-Howe-St-98119/unit-101/home/3901,NWMLS,1672445,N,Y,47.6361523,-122.3724072
MLS Listing,,Condo/Co-op,2512 E Madison St #102,Seattle,WA,98112,439000,1,1,Madison Valley,722,,1991,11,608,429,Active,,,http://www.redfin.com/WA/Seattle/2512-E-Madison-St-98112/unit-102/home/2068020,NWMLS,1670218,N,Y,47.6216398,-122.2994579
MLS Listing,,Single Family Residential,10128 Waters Ave S,Seattle,WA,98178,599950,3,1.75,Rainier Beach,1504,4500,1922,11,399,,Active,,,http://www.redfin.com/WA/Seattle/10128-Waters-Ave-S-98178/home/177249,NWMLS,1671845,N,Y,47.5098855,-122.2497102
MLS Listing,,Single Family Residential,41318 213th Ave SE,Enumclaw,WA,98022,399900,3,1,Enumclaw,1200,10679,1974,11,333,,Active,,,http://www.redfin.com/WA/Enumclaw/41318-213th-Ave-SE-98022/home/291690,NWMLS,1671742,N,Y,47.2304726,-122.057361
MLS Listing,,Condo/Co-op,7317 N Skyview Ln Unit L204,Tacoma,WA,98406,264950,2,1.75,Tacoma,1068,,1981,12,248,411,Active,,,http://www.redfin.com/WA/Tacoma/7317-Skyview-Ln-N-98406/unit-L204/home/2976696,NWMLS,1671893,N,Y,47.2579283,-122.5334963
MLS Listing,,Single Family Residential,464 226th Ln NE,Sammamish,WA,98074,749990,3,2.5,Sammamish,1887,1887,1998,12,397,501,Active,,,http://www.redfin.com/WA/Sammamish/464-226th-Ln-NE-98074/home/12266185,NWMLS,1672171,N,Y,47.613547,-122.0376804
MLS Listing,,Condo/Co-op,425 23rd Ave S Unit A314,Seattle,WA,98144,309000,1,1,Central Area,492,,2005,12,628,222,Active,,,http://www.redfin.com/WA/Seattle/425-23rd-Ave-S-98144/unit-A314/home/2066083,NWMLS,1671403,N,Y,47.5982675,-122.3025545
MLS Listing,,Single Family Residential,1972 SW 345th Pl,Federal Way,WA,98023,539950,4,2.5,Madrona,2230,7299,2003,12,242,25,Active,,,http://www.redfin.com/WA/Federal-Way/1972-SW-345th-Pl-98023/home/358075,NWMLS,1671758,N,Y,47.292352,-122.359759
MLS Listing,,Single Family Residential,1803 Field Pl NE,Renton,WA,98059,730000,4,2.5,Renton,2560,9164,1992,12,285,28,Active,,,http://www.redfin.com/WA/Renton/1803-Field-Pl-NE-98059/home/412854,NWMLS,1669377,N,Y,47.5079989,-122.1523024
MLS Listing,,Single Family Residential,41828 SE 142nd St,North Bend,WA,98045,949900,3,1.75,North Bend,2680,71011,1966,12,354,,Active,,,http://www.redfin.com/WA/North-Bend/41828-SE-142nd-St-98045/home/486598,NWMLS,1670838,N,Y,47.4712291,-121.7815823
MLS Listing,,Townhouse,218 E Boston St,Seattle,WA,98102,1115000,3,3.5,Eastlake,1940,1789,1999,12,575,,Active,,,http://www.redfin.com/WA/Seattle/218-E-Boston-St-98102/home/132028,NWMLS,1671310,N,Y,47.6384171,-122.3249878
MLS Listing,,Condo/Co-op,2716 Elliott Ave #803,Seattle,WA,98121,419950,1,1,Belltown,516,,2003,13,814,382,Active,,,http://www.redfin.com/WA/Seattle/2716-Elliott-Ave-98121/unit-803/home/42141,NWMLS,1669352,N,Y,47.6150487,-122.3527367
MLS Listing,,Condo/Co-op,1707 Boylston Ave #209,Seattle,WA,98122,511000,2,1,Capitol Hill,817,,1965,13,625,445,Active,,,http://www.redfin.com/WA/Seattle/1707-Boylston-Ave-98122/unit-209/home/12538598,NWMLS,1671148,N,Y,47.616649,-122.3237236
MLS Listing,,Single Family Residential,4414 SW Othello St,Seattle,WA,98136,1097000,4,2.75,Gatewood,2180,3870,2013,13,503,,Active,,,http://www.redfin.com/WA/Seattle/4414-SW-Othello-St-98136/home/152473,NWMLS,1670720,N,Y,47.5381537,-122.3892321
MLS Listing,,Condo/Co-op,3604 26th Pl W #202,Seattle,WA,98199,575000,3,1.75,Seattle,1548,,1968,13,371,525,Active,,,http://www.redfin.com/WA/Seattle/3604-26th-Pl-W-98199/unit-202/home/103958130,NWMLS,1665188,N,Y,47.6524607,-122.3885037
MLS Listing,,Townhouse,116 Aloha St #116,Seattle,WA,98109,1125000,3,3.25,Queen Anne,1948,13630,1999,13,578,1094,Active,,,http://www.redfin.com/WA/Seattle/116-Aloha-St-98109/unit-116/home/35137,NWMLS,1671051,N,Y,47.627396,-122.3544745
MLS Listing,,Single Family Residential,672 S Davis St,Buckley,WA,98321,619950,3,2.5,Buckley,2840,6300,2020,14,218,50,Active,,,http://www.redfin.com/WA/Buckley/672-S-Davis-St-98321/home/167468396,NWMLS,1669904,N,Y,47.153549,-122.02299
MLS Listing,,Single Family Residential,4208 SW Roxbury St,Seattle,WA,98136,915000,3,1.75,Arbor Heights,3040,6536,1952,14,301,,Active,,,http://www.redfin.com/WA/Seattle/4208-SW-Roxbury-St-98136/home/155249,NWMLS,1669986,N,Y,47.5177264,-122.3860499
MLS Listing,,Single Family Residential,1809 Holbrook Ave,Everett,WA,98203,1200000,6,4.5,Boulevard Bluffs,5109,10019,2001,18,235,,Active,,,http://www.redfin.com/WA/Everett/1809-Holbrook-Ave-98203/home/2734735,NWMLS,1668483,N,Y,47.9551434,-122.2532665
MLS Listing,,Condo/Co-op,3200 81st Pl SE Unit A203,Mercer Island,WA,98040,425000,1,1,Mercer Island,665,,1968,18,639,399,Active,,,http://www.redfin.com/WA/Mercer-Island/3200-81st-Pl-SE-98040/unit-A203/home/21617458,NWMLS,1667074,N,Y,47.5814381,-122.2300379
MLS Listing,,Single Family Residential,1212 135th St Ct S,Tacoma,WA,98444,359000,3,1.75,Tacoma,1320,9821,1984,18,272,,Active,,,http://www.redfin.com/WA/Tacoma/1212-135th-St-Ct-S-98444/home/2992613,NWMLS,1669118,N,Y,47.1339316,-122.4510576
MLS Listing,,Condo/Co-op,6736 Lake Washington Blvd NE #10,Kirkland,WA,98033,1299000,2,2,Kirkland,1582,,1977,18,821,538,Active,,,http://www.redfin.com/WA/Kirkland/6736-Lake-Washington-Blvd-NE-98033/unit-10/home/57465,NWMLS,1667787,N,Y,47.6660931,-122.2063629
MLS Listing,,Single Family Residential,2020 42nd Ave E,Seattle,WA,98112,1385000,2,1.75,Madison Park,1550,3600,1985,18,894,,Active,,,http://www.redfin.com/WA/Seattle/2020-42nd-Ave-E-98112/home/139919,NWMLS,1668899,N,Y,47.6376322,-122.2781901
MLS Listing,,Condo/Co-op,500 106th Ave NE #503,Bellevue,WA,98004,709000,1,0.75,Downtown,788,,2008,18,900,515,Active,,,http://www.redfin.com/WA/Bellevue/500-106th-Ave-NE-98004/unit-503/home/21882668,NWMLS,1667422,N,Y,47.6147175,-122.1987009
MLS Listing,,Condo/Co-op,425 23rd Ave S Unit A316,Seattle,WA,98144,524950,2,1.75,Central Area,1047,,2005,18,501,514,Active,,,http://www.redfin.com/WA/Seattle/425-23rd-Ave-S-98144/unit-A316/home/2067281,NWMLS,1668180,N,Y,47.5982675,-122.3025545
MLS Listing,,Townhouse,3811 Evanston Ave N Unit B,Seattle,WA,98103,839000,3,2.25,Fremont,1500,1274,2004,18,559,,Active,,,http://www.redfin.com/WA/Seattle/3811-Evanston-Ave-N-98103/unit-B/home/2064147,NWMLS,1665920,N,Y,47.653199,-122.3517249
MLS Listing,,Condo/Co-op,819 Virginia St #3206,Seattle,WA,98101,799000,1,1.5,Denny Triangle,1113,,2007,18,718,1011,Active,,,http://www.redfin.com/WA/Seattle/819-Virginia-St-98101/unit-3206/home/12304716,NWMLS,1668830,N,Y,47.6160391,-122.3357064
MLS Listing,,Single Family Residential,5926 268th St NW,Stanwood,WA,98292,390000,2,1,Stanwood,768,43560,1924,19,508,,Active,,,http://www.redfin.com/WA/Stanwood/5926-268th-St-NW-98292/home/2606162,NWMLS,1665359,N,Y,48.2390313,-122.3130584
MLS Listing,,Single Family Residential,16048 21st Ave SW,Burien,WA,98166,579995,3,1,Three Tree Point,1780,9000,1957,19,326,,Active,,,http://www.redfin.com/WA/Burien/16048-21st-Ave-SW-98166/home/336257,NWMLS,1667409,N,Y,47.4581616,-122.3602522
MLS Listing,,Single Family Residential,520 E Highland Ave,Mount Vernon,WA,98273,360000,3,2.25,Mount Vernon,1540,4792,1983,19,234,,Active,,,http://www.redfin.com/WA/Mt-Vernon/520-E-Highland-Ave-98273/home/15647106,NWMLS,1666770,N,Y,48.4248723,-122.3299896
MLS Listing,,Condo/Co-op,13301 SE 79th Pl Unit B311,Newcastle,WA,98059,540000,3,2,Newcastle,1336,,2001,19,404,510,Active,,,http://www.redfin.com/WA/Newcastle/13301-SE-79th-Pl-98059/unit-B311/home/2098852,NWMLS,1666436,N,Y,47.5332005,-122.1625157
MLS Listing,,Condo/Co-op,705 E Republican St #306,Seattle,WA,98102,299950,0,1,Broadway,370,,1963,19,811,224,Active,,,http://www.redfin.com/WA/Seattle/705-E-Republican-St-98102/unit-306/home/12090777,NWMLS,1666552,N,Y,47.6228918,-122.3227394
MLS Listing,,Single Family Residential,3055 25th Ave W,Seattle,WA,98199,1620000,4,2.5,Magnolia,3010,6382,2014,19,538,,Active,,,http://www.redfin.com/WA/Seattle/3055-25th-Ave-W-98199/home/124457,NWMLS,1667853,N,Y,47.6483123,-122.3890579
MLS Listing,,Condo/Co-op,1614 Summit Ave Unit S107,Seattle,WA,98122,399975,1,1,Broadway,561,,1990,19,713,323,Active,,,http://www.redfin.com/WA/Seattle/1614-Summit-Ave-98122/unit-S107/home/71417,NWMLS,1666473,N,Y,47.6159184,-122.325214
MLS Listing,,Single Family Residential,923 171st Pl SW,Lynnwood,WA,98037,799000,6,3.5,Martha Lake,3341,8276,1920,19,239,,Active,,,http://www.redfin.com/WA/Lynnwood/923-171st-Pl-SW-98037/home/2654033,NWMLS,1668040,N,Y,47.8432206,-122.2462546
MLS Listing,,Condo/Co-op,4100 Lake Washington Blvd N Unit C202,Renton,WA,98056,374990,2,1.5,Kennydale,1107,,1980,20,339,346,Active,,,http://www.redfin.com/WA/Renton/4100-Lake-Washington-Blvd-N-98056/unit-C202/home/103955684,NWMLS,1666660,N,Y,47.5285269,-122.20148
MLS Listing,,Single Family Residential,2864 NW 68th St,Seattle,WA,98117,779950,4,1,Sunset Hill,1680,5000,1904,20,464,,Active,,,http://www.redfin.com/WA/Seattle/2864-NW-68th-St-98117/home/166761,NWMLS,1666737,N,Y,47.6782058,-122.3954124
MLS Listing,,Condo/Co-op,8827 206th St SE Unit A,Snohomish,WA,98296,350000,2,1.5,Maltby,1204,,1999,20,291,200,Active,,,http://www.redfin.com/WA/Snohomish/8827-206th-St-SE-98296/unit-A/home/2884392,NWMLS,1667123,N,Y,47.8110067,-122.1124119
MLS Listing,,Condo/Co-op,3834 175th Ave NE #101,Redmond,WA,98052,509000,2,1,Lake Sammamish,978,,1967,21,520,413,Active,,,http://www.redfin.com/WA/Redmond/3834-175th-Ave-NE-98052/unit-101/home/33571,NWMLS,1666477,N,Y,47.6447031,-122.1046438
MLS Listing,,Single Family Residential,1918 E Gregory St Ct,Tacoma,WA,98404,379000,4,2,Tacoma,1570,5012,2009,22,241,,Active,,,http://www.redfin.com/WA/Tacoma/1918-E-Gregory-St-Ct-98404/home/22756092,NWMLS,1665904,N,Y,47.2265228,-122.4029298
MLS Listing,,Single Family Residential,23549 39th Ave W,Brier,WA,98036,629500,3,2.5,Brier,2523,12632,1987,25,250,,Active,,,http://www.redfin.com/WA/Brier/23549-39th-Ave-W-98036/home/2807596,NWMLS,1655389,N,Y,47.7848043,-122.285934
MLS Listing,,Condo/Co-op,715 24th Ave #105,Seattle,WA,98122,425000,2,1,Central Area,750,,1928,25,567,412,Active,,,http://www.redfin.com/WA/Seattle/715-24th-Ave-98122/unit-105/home/12318381,NWMLS,1664982,N,Y,47.6085154,-122.3018935
MLS Listing,,Condo/Co-op,408 Bellevue Ave E #102,Seattle,WA,98102,450000,1,1,Capitol Hill,700,,1929,25,643,755,Active,,,http://www.redfin.com/WA/Seattle/408-Bellevue-Ave-E-98102/unit-102/home/145542218,NWMLS,1664251,N,Y,47.6223393,-122.3262463
MLS Listing,,Single Family Residential,35431 56th Ave S,Auburn,WA,98001,659950,4,2.5,Jovita,2893,5898,2017,25,228,42,Active,,,http://www.redfin.com/WA/Auburn/35431-56th-Ave-S-98001/home/22697514,NWMLS,1663445,N,Y,47.2837693,-122.2655543
MLS Listing,,Condo/Co-op,5801 Phinney Ave N #103,Seattle,WA,98103,399500,1,1,Phinney Ridge,745,,1979,25,536,372,Active,,,http://www.redfin.com/WA/Seattle/5801-Phinney-Ave-N-98103/unit-103/home/44638,NWMLS,1665155,N,Y,47.6713573,-122.3547221
