SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-28-2020,Single Family Residential,1107 SW 325th Pl,Federal Way,WA,98023,525000,4,2.5,Alderbrook,2270,12070,1987,46,231,13,Sold,,,http://www.redfin.com/WA/Federal-Way/1107-SW-325th-Pl-98023/home/359021,NWMLS,1633132,N,Y,47.3084644,-122.3498367
PAST SALE,September-14-2020,Single Family Residential,27016 12th Ave S,Des Moines,WA,98198,465000,3,1.5,Des Moines,1090,9045,1969,29,427,,Sold,,,http://www.redfin.com/WA/Des-Moines/27016-12th-Ave-S-98198/home/345937,NWMLS,1644886,N,Y,47.3591554,-122.3180435
PAST SALE,July-16-2020,Single Family Residential,9318 186th St Ct E,Puyallup,WA,98375,380000,3,2.5,Puyallup,2295,5000,2004,89,166,50,Sold,,,http://www.redfin.com/WA/Puyallup/9318-186th-St-Ct-E-98375/home/3027241,NWMLS,1613287,N,Y,47.087102,-122.3079
PAST SALE,September-10-2020,Single Family Residential,2807 106th St SE,Everett,WA,98208,599000,3,1.75,Silver Lake,1626,7841,1997,33,368,33,Sold,,,http://www.redfin.com/WA/Everett/2807-106th-St-SE-98208/home/2853314,NWMLS,1644887,N,Y,47.9011503,-122.1948365
PAST SALE,September-10-2020,Single Family Residential,5614 147th Pl NE,Marysville,WA,98271,466950,3,2.5,Marysville,2062,4356,2015,33,226,95,Sold,,,http://www.redfin.com/WA/Marysville/5614-147th-Pl-NE-98271/home/109592718,NWMLS,1635121,N,Y,48.1291504,-122.1552061
PAST SALE,September-30-2020,Single Family Residential,2022 Lincoln Pl NE,Renton,WA,98056,740000,3,2.5,Kennydale,2520,4803,2005,13,294,36,Sold,,,http://www.redfin.com/WA/Renton/2022-Lincoln-Pl-NE-98056/home/2078282,NWMLS,1653416,N,Y,47.5103811,-122.1929162
PAST SALE,September-1-2020,Single Family Residential,14319 63rd Ave W,Edmonds,WA,98026,651000,4,2.75,Picnic Point,2084,7405,1978,42,312,9,Sold,,,http://www.redfin.com/WA/Edmonds/14319-63rd-Ave-W-98026/home/2778085,NWMLS,1635841,N,Y,47.8684858,-122.3180597
PAST SALE,July-17-2020,Single Family Residential,13478 196th Ave SE,Monroe,WA,98272,670000,4,2.5,Monroe,2850,6098,2017,88,235,74,Sold,,,http://www.redfin.com/WA/Monroe/13478-196th-Ave-SE-98272/home/145257414,NWMLS,1612383,N,Y,47.8752911,-121.9686952
PAST SALE,August-11-2020,Single Family Residential,2509 S Ainsworth Ave,Tacoma,WA,98405,378000,3,2.5,Tacoma,1844,3250,2005,63,205,,Sold,,,http://www.redfin.com/WA/Tacoma/2509-S-Ainsworth-Ave-98405/home/3032467,NWMLS,1625799,N,Y,47.2364945,-122.4550867
PAST SALE,August-24-2020,Single Family Residential,4019 101st St Ct,Gig Harbor,WA,98332,500000,4,2.25,Gig Harbor,2196,12762,1978,50,228,,Sold,,,http://www.redfin.com/WA/Gig-Harbor/4019-101st-St-Ct-98332/home/2937634,NWMLS,1633998,N,Y,47.3506202,-122.5929041
PAST SALE,September-21-2020,Condo/Co-op,23001 Marine View Dr S Unit A203,Des Moines,WA,98198,449000,2,1.75,Zenith,1145,,1969,22,392,716,Sold,,,http://www.redfin.com/WA/Des-Moines/23001-Marine-View-Dr-S-98198/unit-A203/home/46530,NWMLS,1567518,N,Y,47.3957227,-122.3240222
PAST SALE,September-2-2020,Condo/Co-op,1317 57th St SW Unit B,Everett,WA,98203,360000,3,2.25,Boulevard Bluffs,1435,,1996,41,251,404,Sold,,,http://www.redfin.com/WA/Everett/1317-57th-St-SW-98203/unit-B/home/12107508,NWMLS,1630737,N,Y,47.9467377,-122.2518269
PAST SALE,September-18-2020,Single Family Residential,3032 22nd Ave W,Seattle,WA,98199,850000,4,2.5,Magnolia,2180,4000,1906,25,390,,Sold,,,http://www.redfin.com/WA/Seattle/3032-22nd-Ave-W-98199/home/124849,NWMLS,1646305,N,Y,47.6475413,-122.3844484
PAST SALE,September-18-2020,Condo/Co-op,5440 Leary Ave NW #216,Seattle,WA,98107,430000,1,1,Ballard,824,,2007,25,522,341,Sold,,,http://www.redfin.com/WA/Seattle/5440-Leary-Ave-NW-98107/unit-216/home/18657737,NWMLS,1578988,N,Y,47.6677862,-122.382724
PAST SALE,August-21-2020,Single Family Residential,2840 SW Nevada St,Seattle,WA,98126,575000,3,2,Delridge,1290,2550,1998,53,446,,Sold,,,http://www.redfin.com/WA/Seattle/2840-SW-Nevada-St-98126/home/159586,NWMLS,1633583,N,Y,47.5656507,-122.3699186
PAST SALE,September-9-2020,Condo/Co-op,500 5th Ave W #707,Seattle,WA,98119,1100000,2,2.25,Queen Anne,1659,,1968,34,663,1032,Sold,,,http://www.redfin.com/WA/Seattle/500-5th-Ave-W-98119/unit-707/home/12537140,NWMLS,1592943,N,Y,47.6235554,-122.3628734
